,ID,BoroCode,Borough,CD,CDName,TaxBlock,TaxLot,FacName,FacAddress,ZipCode,FacType,FT_Decode,FT_Report,FT_Map,GroupType,GroupType_Decode,NewGroupType,NewGroupType_Decode,NewSgroup,NewSgroup_Decode,NewFacType,NewFT_Decode,Sgroup,Sgroup_Decode,Capacity,CapType,CT_Decode,CT_Report,Acreage,PKtoG8,G9toG12,AgencyOper,NewAgencyOper_Decode,AgencyOper_Report,AgencyOver,NewAgencyOver_Decode,AgencyOver_Report,CT2010,Tract2010,CouncilDis,SchoolDist,PolicePrct,HealthArea,BBL,XCoord,YCoord,SvcArea,Latitude,Longitude,Accuracy Score,Accuracy Type,Number,Street,City,State,County,Zip
9544,15000QZ896,4,QN,408,QUEENS COMMUNITY DISTRICT 8,NA,NA,GREENSTREET,Midland Pkwy bet Dalny Rd & Henley Rd,NA,1515,Joint NYCDOT/DPR Landscaped Area (Greenstreet),Joint NYCDOT/DPR Landscaped Area,Greenstreet,2,RECREATIONAL AND CULTURAL FACILITIES,2,Community & Recreational Facilities,2c,Parklands and Plazas,2c04,Joint NYCDOT/DPR Landscaped Area (Greenstreet),22,Parklands,0.015,8,See Acreage Field; Value Represents Acreage of Total Property,Acres,0.015,NA,NA,3,NYC Department of Parks & Recreation ,NYC DPR,24,NYC Department of Transportation ,NYC DOT,NA,NA,NA,NA,NA,NA,NA,1043887,200823,L,40.780751,-73.977182,1,place,,,New York,NY,New York County,10292
20724,490380667,1,MN,111,MANHATTAN COMMUNITY DISTRICT 11,1621,50,MT. ZION AME CHURCH OUTREACH PROGRAM,1765 Madison Ave,10029,4903,Joint Soup Kitchen and Food Pantry,Joint Soup Kitchen and Food Pantry,Soup Kitchen/Food Pantry,10,RESIDENTIAL FACILITIES AND FOOD PROGRAMS FOR ADULTS AND FAMILIES,5,Housing & Social Service Facilities,5e,Drop-In Centers for the Homeless and Food Programs,5.00E+03,Joint Soup Kitchen and Food Pantry,102,Food Programs and Drop-In Centers,NA,99,Not Applicable or Not Collected For This Facility Type,NA,NA,NA,NA,91,Not For Profit,NFP,99,NA,NA,184,184,8,4,25,2000,1016210050,999552,230635,L,40.79972202,-73.9448563,1,rooftop,1765,Madison Ave,New York,NY,New York County,10029
16265,3776450448,5,SI,501,STATEN ISLAND COMMUNITY DISTRICT 1,365,300,"INDEPENDENT LIVING ASSOCIATION, INC.",183 S Greenleaf Ave,10314,3703,Individualized Residential Alternative - Developmental Disability,Community Residence - Dev Disability,Res Dev Disability Svc,7,DEVELOPMENTAL DISABILITIES SERVICES,4,Hospitals & Health Service Facilities,4g,Developmental Disabilities Service Facilities - Inpatient,4g03,Individualized Residential,71,Developmental Disabilities Services - Residential,8,2,Certified Hospital Beds or Residential or Correctional Facility Beds,Beds,NA,NA,NA,91,Not For Profit,NFP,57,NYS Office for People with Developmental Disabilities ,NYS OPWDD,151,151,50,31,120,600,5003650300,949654,165071,R,40.61968636,-74.12481808,1,rooftop,183,S Greenleaf Ave,Staten Island,NY,Richmond County,10314
12962,327001300R9448,1,MN,108,MANHATTAN COMMUNITY DISTRICT 8,1539,1,YORKVILLE ENDOSCOPY CENTER,200 E 94 St,10128,3201,Diagnostic and Treatment Center,Diagnostic and Treatment Center,Diagnostic and Treatment Ctr,4,"NURSING HOMES, HOSPITALS, HOSPICES, AND AMBULATORY PROGRAMS",4,Hospitals & Health Service Facilities,4a,"Hospitals, Clinics, and EMS Facilities",4a03,Diagnostic and Treatment Center,42,Ambulatory Facilities and Programs,NA,98,Unknown For This Record,NA,NA,NA,NA,90,Proprietary,Private,54,NYS Department of Health ,NYS DOH,154,154,5,2,19,3300,1015390001,998097,224678,L,40.78360537,-73.9498743,1,rooftop,200,E 94th St,New York,NY,New York County,10128
12459,2101QN024,4,QN,408,QUEENS COMMUNITY DISTRICT 8,6891,3,"ENG 299,LAD 152",61-20 Utopia Pkwy,11365,2101,NYC Fire House,NYC Fire House,NYC Fire House,3,PUBLIC SAFETY AND CRIMINAL JUSTICE FACILITIES,3,Public Safety & Justice Facilities,3b,Fire Houses and Other Facilities,3b01,NYC Fire House,31,"NYPD, FDNY, Courts, and Correctional Facilities",NA,99,Not Applicable or Not Collected For This Facility Type,NA,NA,NA,NA,10,NYC Fire Department ,FDNY,10,NYC Fire Department ,FDNY,1341,1341,24,26,107,2130,4068910003,1041520,208279,L,40.73814617,-73.79319498,1,rooftop,61-020,Utopia Pkwy,Fresh Meadows,NY,Queens County,11365
6903,15000B458,3,BK,305,BROOKLYN COMMUNITY DISTRICT 5,3993,17,E END COMMUNITY GARDEN,Glenmore Ave. and Van Siclen Ave.,NA,1514,"Beach, Garden, Cemetery, Natural Area, Parkway - NYC","Beach, Garden, Natural Area, Other - NYC",NYC Park Property,2,RECREATIONAL AND CULTURAL FACILITIES,2,Community & Recreational Facilities,2c,Parklands and Plazas,2c03,"Beach, Garden, Cemetery, Natural Area, Parkway - NYC",22,Parklands,0.161,8,See Acreage Field; Value Represents Acreage of Total Property,Acres,0.161,NA,NA,3,NYC Department of Parks & Recreation ,NYC DPR,3,NYC Department of Parks & Recreation ,NYC DPR,NA,NA,NA,NA,NA,NA,3039930017,1014539,184772,L,40.780751,-73.977182,1,place,,,New York,NY,New York County,10292
6148,15000Q454,4,QN,413,QUEENS COMMUNITY DISTRICT 13,13845,68,HOOK CREEK PARK,"Brookville Blvd., Huxleyy St. bet. 149 Ave. and Hook Creek Basin",NA,1514,"Beach, Garden, Cemetery, Natural Area, Parkway - NYC","Beach, Garden, Natural Area, Other - NYC",NYC Park Property,2,RECREATIONAL AND CULTURAL FACILITIES,2,Community & Recreational Facilities,2c,Parklands and Plazas,2c03,"Beach, Garden, Cemetery, Natural Area, Parkway - NYC",22,Parklands,111.163,8,See Acreage Field; Value Represents Acreage of Total Property,Acres,111.163,NA,NA,3,NYC Department of Parks & Recreation ,NYC DPR,3,NYC Department of Parks & Recreation ,NYC DPR,NA,NA,NA,NA,NA,NA,4138450068,1055412,174488,L,40.780751,-73.977182,1,place,,,New York,NY,New York County,10292
9346,15000QZ561,4,QN,413,QUEENS COMMUNITY DISTRICT 13,NA,NA,GREENSTREET,Francis Lewis Blvd bet 230 Pl & 231 St,NA,1515,Joint NYCDOT/DPR Landscaped Area (Greenstreet),Joint NYCDOT/DPR Landscaped Area,Greenstreet,2,RECREATIONAL AND CULTURAL FACILITIES,2,Community & Recreational Facilities,2c,Parklands and Plazas,2c04,Joint NYCDOT/DPR Landscaped Area (Greenstreet),22,Parklands,0.04,8,See Acreage Field; Value Represents Acreage of Total Property,Acres,0.04,NA,NA,3,NYC Department of Parks & Recreation ,NYC DPR,24,NYC Department of Transportation ,NYC DOT,NA,NA,NA,NA,NA,NA,NA,1055778,183713,L,40.780751,-73.977182,1,place,,,New York,NY,New York County,10292
13674,327000006H9745,2,BX,209,BRONX COMMUNITY DISTRICT 9,3604,39,STEVENSON HIGH SCHOOL,1980 Lafayette Ave,10473,3205,School Based Hospital Extension Clinic,School Based Hospital Extension Clinic,Hospital Extension Clinic,4,"NURSING HOMES, HOSPITALS, HOSPICES, AND AMBULATORY PROGRAMS",4,Hospitals & Health Service Facilities,4a,"Hospitals, Clinics, and EMS Facilities",4a07,School Based Hospital Extension Clinic,42,Ambulatory Facilities and Programs,NA,98,Unknown For This Record,NA,NA,NA,NA,91,Not For Profit,NFP,54,NYS Department of Health ,NYS DOH,16,16,18,8,43,3030,2036040039,1024124,238501,L,40.82215274,-73.85587413,1,rooftop,1980,Lafayette Ave,Bronx,NY,Bronx County,10473
8443,15000R130,5,SI,502,STATEN ISLAND COMMUNITY DISTRICT 2,1815,235,SAW MILL CREEK MARSH,West Shore Exwy. to Kill Van Kull from River Rd. to South Ave.,NA,1514,"Beach, Garden, Cemetery, Natural Area, Parkway - NYC","Beach, Garden, Natural Area, Other - NYC",NYC Park Property,2,RECREATIONAL AND CULTURAL FACILITIES,2,Community & Recreational Facilities,2c,Parklands and Plazas,2c03,"Beach, Garden, Cemetery, Natural Area, Parkway - NYC",22,Parklands,178.47,8,See Acreage Field; Value Represents Acreage of Total Property,Acres,178.47,NA,NA,3,NYC Department of Parks & Recreation ,NYC DPR,3,NYC Department of Parks & Recreation ,NYC DPR,NA,NA,NA,NA,NA,NA,5018150235,931235,161093,L,40.723631,-74.011507,1,street_center,,12th Ave,New York,NY,New York County,10013
21751,6111BIC4065,3,BK,307,BROOKLYN COMMUNITY DISTRICT 7,845,50,SHRED UP INC.,259 58 St,11220,6111,Commercial Waste Carter Garage,Commercial Waste Carter Garage,Commercial Waste Carter Garage,12,WASTE MANAGEMENT FACILITIES,6,Transportation & Waste Facilities,6d,Operational Vehicle Storage Facilities,6d11,Commercial Waste Carter Garage,121,Waste Management Facilities,NA,99,Not Applicable or Not Collected For This Facility Type,NA,NA,NA,NA,90,Proprietary,Private,37,NYC Business Integrity Commission ,NYC BIC,22,22,38,20,72,6500,3008450050,978701,173878,L,40.6438791,-74.02035633,1,range_interpolation,259,58th St,Brooklyn,NY,Kings County,11220
1937,1.13E+13,4,QN,405,QUEENS COMMUNITY DISTRICT 5,3707,16,REDEEMER LUTHERAN SCHOOL,69-26 Cooper Ave,11385,1101,Elementary School - Private/Parochial,Elementary School - Private/Parochial,Elementary School - Private,1,SCHOOLS,1,Educational Facilities,1c,Private/Parochial Elementary and Secondary Schools,1c01,Private/Parochial Elementary School,12,Private/Parochial Elementary and Secondary Schools,207,1,Day Care or Head Start Center Capacity,Children,NA,207,0,90,Proprietary,Private,50,NYS Education Department / Board of Regents ,NYSED,629,629,30,24,104,2400,4037070016,1017167,194700,L,40.70124435,-73.88153262,1,rooftop,69-026,Cooper Ave,Ridgewood,NY,Queens County,11385
16041,3771070431,1,MN,108,MANHATTAN COMMUNITY DISTRICT 8,1373,1,NEW YORK FOUNDLING HOSPITAL,20 River Rd,10044,3703,Individualized Residential Alternative - Developmental Disability,Community Residence - Dev Disability,Res Dev Disability Svc,7,DEVELOPMENTAL DISABILITIES SERVICES,4,Hospitals & Health Service Facilities,4g,Developmental Disabilities Service Facilities - Inpatient,4g03,Individualized Residential,71,Developmental Disabilities Services - Residential,4,2,Certified Hospital Beds or Residential or Correctional Facility Beds,Beds,NA,NA,NA,91,Not For Profit,NFP,57,NYS Office for People with Developmental Disabilities ,NYS OPWDD,238.02,23802,5,2,114,8300,1013730001,997381,215297,R,40.76550482,-73.94736182,1,rooftop,20,River Rd,New York,NY,New York County,10044
17384,4100DC22771,4,QN,407,QUEENS COMMUNITY DISTRICT 7,5239,31,"IBEAR DAY CARE CENTER, INC",33-15 154 St,11354,4102,Group Day Care - Private,Group Day Care - Private,Group Day Care - Private,8,DAYCARE AND RESIDENTIAL FACILITIES FOR CHILDREN,5,Housing & Social Service Facilities,5b,Childcare Facilities,5b02,Group Day Care - Private,82,Daycare and Headstart Facilities,32,1,Day Care or Head Start Center Capacity,Children,NA,NA,NA,90,Proprietary,Private,14,NYC Department of Health & Mental Hygiene ,NYC DOHMH,1151,1151,19,25,109,1310,4052390031,1036819,219143,L,40.76807011,-73.81029263,1,rooftop,33-015,154th St,Flushing,NY,Queens County,11354
2857,1.40E+13,1,MN,107,MANHATTAN COMMUNITY DISTRICT 7,1229,31,ST. AGNES LIBRARY,444 Amsterdam Ave,10024,1401,Public Library - Branch,Public Library - Branch,Public Library - Branch,2,RECREATIONAL AND CULTURAL FACILITIES,2,Community & Recreational Facilities,2a,Libraries,2a01,Public Library - Branch,21,Libraries and Cultural Institutions,388533,3,Book Circulation for the NY/BK/QN Borough Library,Annual Circ.,NA,NA,NA,6,New York Public Library ,NYPL,6,New York Public Library ,NYPL,167,167,6,3,20,3400,1012290031,990486,225219,L,40.78479183,-73.97734456,1,rooftop,444,Amsterdam Ave,New York,NY,New York County,10024
4373,15000B536,3,BK,301,BROOKLYN COMMUNITY DISTRICT 1,2332,30,NORTH 5TH STREET PIER,Kent Ave. bet. N. 4 St. and N. 6 St.,NA,1511,Park/Playground - NYC,Park/Playground - NYC,NYC Park Property,2,RECREATIONAL AND CULTURAL FACILITIES,2,Community & Recreational Facilities,2c,Parklands and Plazas,2c01,Park/Playground - NYC,22,Parklands,3.882,8,See Acreage Field; Value Represents Acreage of Total Property,Acres,3.882,NA,NA,3,NYC Department of Parks & Recreation ,NYC DPR,3,NYC Department of Parks & Recreation ,NYC DPR,NA,NA,NA,NA,NA,NA,3023320030,994211,201739,L,40.780751,-73.977182,1,place,,,New York,NY,New York County,10292
14837,367211124A,2,BX,212,BRONX COMMUNITY DISTRICT 12,4658,15,ASTOR CLINIC TREATMENT PROGRAM,750 Tilden St,10467,3609,Clinic Treatment - Mental Health,Clinic Treatment - Mental Health,Outp Mental Health Svc,6,MENTAL HEALTH SERVICES,4,Hospitals & Health Service Facilities,4f,Mental Health Facilities - Outpatient,4f06,Clinic Treatment,62,Mental Health Services - Non-Residential,NA,98,Unknown For This Record,NA,NA,NA,NA,91,Not For Profit,NFP,56,NYS Office of Mental Health ,NYS OMH,380,380,12,11,47,610,2046580015,1022203,258669,L,40.87675072,-73.86275643,1,rooftop,750,Tilden St,Bronx,NY,Bronx County,10467
366,1.03E+13,2,BX,205,BRONX COMMUNITY DISTRICT 5,2866,105,PS 204 MORRIS HEIGHTS,1780 Dr M L King Jr Blvd,10453,1001,Elementary School - Public,Elementary School - Public,Elementary School - Public,1,SCHOOLS,1,Educational Facilities,1a,Public Elementary and Secondary Schools,1a01,Public Elementary School ,11,Public Elementary and Secondary Schools,579,1,Day Care or Head Start Center Capacity,Children,NA,579,0,1,NYC Department of Education ,NYC DOE,1,NYC Department of Education ,NYC DOE,215.02,21502,14,9,46,2210,2028660105,1007718,248940,L,40.852728,-73.912455,0.22,place,,,Bronx,NY,Bronx County,10453
4400,15000B026,3,BK,302,BROOKLYN COMMUNITY DISTRICT 2,1956,1,CUYLER GORE PARK,"Carlton Ave., Fulton St., Green Ave.",NA,1511,Park/Playground - NYC,Park/Playground - NYC,NYC Park Property,2,RECREATIONAL AND CULTURAL FACILITIES,2,Community & Recreational Facilities,2c,Parklands and Plazas,2c01,Park/Playground - NYC,22,Parklands,1.158,8,See Acreage Field; Value Represents Acreage of Total Property,Acres,1.158,NA,NA,3,NYC Department of Parks & Recreation ,NYC DPR,3,NYC Department of Parks & Recreation ,NYC DPR,NA,NA,NA,NA,NA,NA,3019560001,992161,188962,L,40.780751,-73.977182,1,place,,,New York,NY,New York County,10292
5519,15000M096,1,MN,110,MANHATTAN COMMUNITY DISTRICT 10,NA,NA,ADAM CLAYTON POWELL JR. MALLS,"7 Ave., W. 110 St. To W. 152 St.",NA,1513,"Triangle, Plaza, Mall, Lot, Strip - NYC","Triangle, Plaza, Mall, Other - NYC",NYC Park Property,2,RECREATIONAL AND CULTURAL FACILITIES,2,Community & Recreational Facilities,2c,Parklands and Plazas,2c02,"Triangle, Plaza, Mall, Lot, Strip - NYC",22,Parklands,1.679,8,See Acreage Field; Value Represents Acreage of Total Property,Acres,1.679,NA,NA,3,NYC Department of Parks & Recreation ,NYC DPR,3,NYC Department of Parks & Recreation ,NYC DPR,NA,NA,NA,NA,NA,NA,NA,1001942,240124,L,40.722468,-73.986136,1,range_interpolation,7,Ave A,New York,NY,New York County,10009
19615,4530Q01,1,MN,103,MANHATTAN COMMUNITY DISTRICT 3,420,1,BRC NEIGHBORHOOD SENIOR CENTER,30 Delancey St,10002,4501,Senior Center,Senior Center,Senior Ctr,9,FACILITIES FOR SENIORS,5,Housing & Social Service Facilities,5c,Senior Centers and Assisted Living Facilities,5c01,Senior Center,91,Senior Centers,3780,9,Average Monthly Meals Served,Av. Meals/Month,NA,NA,NA,91,Not For Profit,NFP,21,NYC Department for the Aging ,NYC DFTA,18,18,1,1,5,7400,1004200001,986592,202214,L,40.7203147,-73.99227819,1,rooftop,30,Delancey St,New York,NY,New York County,10002
3693,15000X215,2,BX,207,BRONX COMMUNITY DISTRICT 7,3343,500,VALENTINE VARIAN HOUSE,Bainbridge Ave. bet. Van Cortlandt Ave.,NA,1511,Park/Playground - NYC,Park/Playground - NYC,NYC Park Property,2,RECREATIONAL AND CULTURAL FACILITIES,2,Community & Recreational Facilities,2c,Parklands and Plazas,2c01,Park/Playground - NYC,22,Parklands,0.455,8,See Acreage Field; Value Represents Acreage of Total Property,Acres,0.455,NA,NA,3,NYC Department of Parks & Recreation ,NYC DPR,3,NYC Department of Parks & Recreation ,NYC DPR,NA,NA,NA,NA,NA,NA,2033430500,1017601,258948,L,40.871382,-73.883781,1,street_center,,Bainbridge Ave,Bronx,NY,Bronx County,10458
14500,357573007,4,QN,413,QUEENS COMMUNITY DISTRICT 13,10779,30,'I CAN' COMMUNITY RESIDENCE,220-23 100 Drive,11429,3502,Children and Youth Community Residence - Mental Health,Community Based Residence - Mental Health,Res Mental Health Svc,6,MENTAL HEALTH SERVICES,4,Hospitals & Health Service Facilities,4e,Mental Health Facilities - Inpatient,4.00E+02,Children and Youth Community Residence,61,Mental Health Services - Residential,8,2,Certified Hospital Beds or Residential or Correctional Facility Beds,Beds,NA,NA,NA,91,Not For Profit,NFP,56,NYS Office of Mental Health ,NYS OMH,568,568,27,29,105,2920,4107790030,1058385,199885,R,40.71486221,-73.73261884,1,rooftop,220-023,100th Dr,Queens Village,NY,Queens County,11429
1371,1.03E+13,3,BK,303,BROOKLYN COMMUNITY DISTRICT 3,1743,18,FOUNDATIONS ACADEMY,70 Tompkins Ave,11206,1005,High School - Public,High School - Public,High School - Public,1,SCHOOLS,1,Educational Facilities,1a,Public Elementary and Secondary Schools,1a05,Public High School,11,Public Elementary and Secondary Schools,107,1,Day Care or Head Start Center Capacity,Children,NA,0,107,1,NYC Department of Education ,NYC DOE,1,NYC Department of Education ,NYC DOE,257,257,36,14,79,1720,3017430018,998788,193105,R,40.69696473,-73.94680833,1,rooftop,70,Tompkins Ave,Brooklyn,NY,Kings County,11206
533,1.03E+13,1,MN,111,MANHATTAN COMMUNITY DISTRICT 11,1612,50,CENTRAL PARK EAST I,1573 Madison Ave,10029,1001,Elementary School - Public,Elementary School - Public,Elementary School - Public,1,SCHOOLS,1,Educational Facilities,1a,Public Elementary and Secondary Schools,1a01,Public Elementary School ,11,Public Elementary and Secondary Schools,203,1,Day Care or Head Start Center Capacity,Children,NA,203,0,1,NYC Department of Education ,NYC DOE,1,NYC Department of Education ,NYC DOE,174.01,17401,8,4,23,2500,1016120050,998513,228428,L,40.79390655,-73.94909695,1,rooftop,1573,Madison Ave,New York,NY,New York County,10029
13330,327002188R8534,1,MN,108,MANHATTAN COMMUNITY DISTRICT 8,1464,28,WEILL CORNELL IMAGING AT NY-WGC,1305 York Ave,10021,3202,Diagnostic and Treatment Center Extension Clinic,Diagnostic and Treatment Center Extension Clinic,Diagnostic and Trtmnt Ctr Ext Clinic,4,"NURSING HOMES, HOSPITALS, HOSPICES, AND AMBULATORY PROGRAMS",4,Hospitals & Health Service Facilities,4a,"Hospitals, Clinics, and EMS Facilities",4a04,Diagnostic and Treatment Center Extension Clinic,42,Ambulatory Facilities and Programs,NA,98,Unknown For This Record,NA,NA,NA,NA,91,Not For Profit,NFP,54,NYS Department of Health ,NYS DOH,124,124,5,2,19,4300,1014640028,996667,218171,L,40.76537828,-73.95505423,1,rooftop,1305,York Ave,New York,NY,New York County,10021
7847,15000R047,5,SI,501,STATEN ISLAND COMMUNITY DISTRICT 1,NA,NA,WILLOWBROOK PARKWAY,Willowbrook Pkwy. from Walker St. to Hylan Blvd.,NA,1514,"Beach, Garden, Cemetery, Natural Area, Parkway - NYC","Beach, Garden, Natural Area, Other - NYC",NYC Park Property,2,RECREATIONAL AND CULTURAL FACILITIES,2,Community & Recreational Facilities,2c,Parklands and Plazas,2c03,"Beach, Garden, Cemetery, Natural Area, Parkway - NYC",22,Parklands,198.481,8,See Acreage Field; Value Represents Acreage of Total Property,Acres,198.481,NA,NA,3,NYC Department of Parks & Recreation ,NYC DPR,3,NYC Department of Parks & Recreation ,NYC DPR,NA,NA,NA,NA,NA,NA,NA,941784,163837,R,40.780751,-73.977182,1,place,,,New York,NY,New York County,10292
17022,4100DC24718,1,MN,112,MANHATTAN COMMUNITY DISTRICT 12,2216,1,"FRIENDS OF CROWN HEIGHT EDUCATIONAL CENTERS, INC.",3732 10 Ave,10034,4101,Group Day Care - Public,Group Day Care - Public,Group Day Care - Public,8,DAYCARE AND RESIDENTIAL FACILITIES FOR CHILDREN,5,Housing & Social Service Facilities,5b,Childcare Facilities,5b01,Group Day Care - Public,82,Daycare and Headstart Facilities,64,1,Day Care or Head Start Center Capacity,Children,NA,NA,NA,91,Not For Profit,NFP,14,NYC Department of Health & Mental Hygiene ,NYC DOHMH,299,299,10,6,34,110,1022160001,1005638,253025,L,40.86723,-73.924415,0.33,place,,,New York,NY,New York County,10034
11616,15000RZ29,5,SI,503,STATEN ISLAND COMMUNITY DISTRICT 3,NA,NA,GREENSTREET,S Bridge St and Boscombe Ave,NA,1515,Joint NYCDOT/DPR Landscaped Area (Greenstreet),Joint NYCDOT/DPR Landscaped Area,Greenstreet,2,RECREATIONAL AND CULTURAL FACILITIES,2,Community & Recreational Facilities,2c,Parklands and Plazas,2c04,Joint NYCDOT/DPR Landscaped Area (Greenstreet),22,Parklands,0.044,8,See Acreage Field; Value Represents Acreage of Total Property,Acres,0.044,NA,NA,3,NYC Department of Parks & Recreation ,NYC DPR,24,NYC Department of Transportation ,NYC DOT,NA,NA,NA,NA,NA,NA,NA,918997,130491,L,40.703588,-74.013114,1,street_center,,Bridge St,New York,NY,New York County,10004
8464,15000R120,5,SI,503,STATEN ISLAND COMMUNITY DISTRICT 3,5770,41,ARDEN WOODS,"Arthur Kill Rd., Arden Ave. and Halpin Ave.",NA,1514,"Beach, Garden, Cemetery, Natural Area, Parkway - NYC","Beach, Garden, Natural Area, Other - NYC",NYC Park Property,2,RECREATIONAL AND CULTURAL FACILITIES,2,Community & Recreational Facilities,2c,Parklands and Plazas,2c03,"Beach, Garden, Cemetery, Natural Area, Parkway - NYC",22,Parklands,145.864,8,See Acreage Field; Value Represents Acreage of Total Property,Acres,145.864,NA,NA,3,NYC Department of Parks & Recreation ,NYC DPR,3,NYC Department of Parks & Recreation ,NYC DPR,NA,NA,NA,NA,NA,NA,5057700041,930921,143982,L,40.851223,-73.890498,1,street_center,,Arthur Ave,Bronx,NY,Bronx County,10457
590,1.03E+13,3,BK,314,BROOKLYN COMMUNITY DISTRICT 14,5121,32,PS 245,249 E 17 St,11226,1001,Elementary School - Public,Elementary School - Public,Elementary School - Public,1,SCHOOLS,1,Educational Facilities,1a,Public Elementary and Secondary Schools,1a01,Public Elementary School ,11,Public Elementary and Secondary Schools,293,1,Day Care or Head Start Center Capacity,Children,NA,293,0,1,NYC Department of Education ,NYC DOE,1,NYC Department of Education ,NYC DOE,512,512,40,22,70,7210,3051210032,994563,174269,L,40.64487665,-73.96302457,1,rooftop,249,E 17th St,Brooklyn,NY,Kings County,11226
9358,15000QZ925,4,QN,414,QUEENS COMMUNITY DISTRICT 14,NA,NA,GREENSTREET,Reads La bet Cedarlawn Ave & Mobile Rd,NA,1515,Joint NYCDOT/DPR Landscaped Area (Greenstreet),Joint NYCDOT/DPR Landscaped Area,Greenstreet,2,RECREATIONAL AND CULTURAL FACILITIES,2,Community & Recreational Facilities,2c,Parklands and Plazas,2c04,Joint NYCDOT/DPR Landscaped Area (Greenstreet),22,Parklands,0.035,8,See Acreage Field; Value Represents Acreage of Total Property,Acres,0.035,NA,NA,3,NYC Department of Parks & Recreation ,NYC DPR,24,NYC Department of Transportation ,NYC DOT,NA,NA,NA,NA,NA,NA,NA,1055384,159662,L,40.780751,-73.977182,1,place,,,New York,NY,New York County,10292
10711,15000QZ1004,4,QN,402,QUEENS COMMUNITY DISTRICT 2,NA,NA,JACKSON AVENUE MEDIAN,Jackson Ave Median bet 44 Dr and Purvis St,NA,1515,Joint NYCDOT/DPR Landscaped Area (Greenstreet),Joint NYCDOT/DPR Landscaped Area,Greenstreet,2,RECREATIONAL AND CULTURAL FACILITIES,2,Community & Recreational Facilities,2c,Parklands and Plazas,2c04,Joint NYCDOT/DPR Landscaped Area (Greenstreet),22,Parklands,0.043,8,See Acreage Field; Value Represents Acreage of Total Property,Acres,0.043,NA,NA,3,NYC Department of Parks & Recreation ,NYC DPR,24,NYC Department of Transportation ,NYC DOT,NA,NA,NA,NA,NA,NA,NA,1000345,211542,L,40.811777,-73.909596,1,street_center,,Jackson Ave,Bronx,NY,Bronx County,10455
4392,15000B128,3,BK,312,BROOKLYN COMMUNITY DISTRICT 12,6611,35,COLONEL DAVID MARCUS PLAYGROUND,Ave. P bet. E. 4 St. and Ocean Pkwy.,NA,1511,Park/Playground - NYC,Park/Playground - NYC,NYC Park Property,2,RECREATIONAL AND CULTURAL FACILITIES,2,Community & Recreational Facilities,2c,Parklands and Plazas,2c01,Park/Playground - NYC,22,Parklands,1.974,8,See Acreage Field; Value Represents Acreage of Total Property,Acres,1.974,NA,NA,3,NYC Department of Parks & Recreation ,NYC DPR,3,NYC Department of Parks & Recreation ,NYC DPR,NA,NA,NA,NA,NA,NA,3066110035,992692,161418,L,40.725473,-73.983958,1,street_center,,Ave A,New York,NY,New York County,10009
16032,3761980502,1,MN,108,MANHATTAN COMMUNITY DISTRICT 8,1537,7501,ASSN F/HELP OF RETARDED CHILD.,1623 Third Ave,10128,3703,Individualized Residential Alternative - Developmental Disability,Community Residence - Dev Disability,Res Dev Disability Svc,7,DEVELOPMENTAL DISABILITIES SERVICES,4,Hospitals & Health Service Facilities,4g,Developmental Disabilities Service Facilities - Inpatient,4g03,Individualized Residential,71,Developmental Disabilities Services - Residential,6,2,Certified Hospital Beds or Residential or Correctional Facility Beds,Beds,NA,NA,NA,91,Not For Profit,NFP,57,NYS Office for People with Developmental Disabilities ,NYS OPWDD,154,154,5,2,19,3300,1015377501,997911,224189,R,40.780989,-73.95158,0.33,place,,,New York,NY,New York County,10128
18090,4100DC959,3,BK,317,BROOKLYN COMMUNITY DISTRICT 17,4856,12,"THE CHILDREN'S CENTER AT SUNY BROOKLYN, INC.",440 Lenox Rd,11203,4102,Group Day Care - Private,Group Day Care - Private,Group Day Care - Private,8,DAYCARE AND RESIDENTIAL FACILITIES FOR CHILDREN,5,Housing & Social Service Facilities,5b,Childcare Facilities,5b02,Group Day Care - Private,82,Daycare and Headstart Facilities,42,1,Day Care or Head Start Center Capacity,Children,NA,NA,NA,90,Proprietary,Private,14,NYC Department of Health & Mental Hygiene ,NYC DOHMH,816,816,40,18,67,5510,3048560012,999614,177589,L,40.65411563,-73.94463092,1,rooftop,440,Lenox Rd,Brooklyn,NY,Kings County,11203
12383,2002MN046,1,MN,109,MANHATTAN COMMUNITY DISTRICT 9,1986,65,"MNDO, MN GANGS",3280 Broadway,10027,2002,Other NYPD Facility,Other NYPD Facility,Other NYPD Fac,3,PUBLIC SAFETY AND CRIMINAL JUSTICE FACILITIES,3,Public Safety & Justice Facilities,3a,Police Stations and Other Facilities,3a02,Other NYPD Facility,31,"NYPD, FDNY, Courts, and Correctional Facilities",NA,99,Not Applicable or Not Collected For This Facility Type,NA,NA,NA,NA,8,NYC Police Department ,NYPD,8,NYC Police Department ,NYPD,219,219,7,5,26,1100,1019860065,996489,237399,R,40.81858492,-73.95585476,1,rooftop,3280,Broadway,New York,NY,New York County,10027
